"","balls","strikes","outs_when_up","inning","pitch_number","situation_score","pitch_score"
"405",1,1,1,6,3,0,0
"406",0,0,1,6,1,0,0
"407",1,0,1,6,2,0,1
"408",0,1,1,6,2,1,1
"409",1,2,1,6,4,0,0
"410",0,0,1,6,1,0,1
"411",0,2,1,6,3,0,0
"412",0,0,1,6,1,1,1
"413",0,1,1,6,2,0,0
"414",1,2,0,6,4,0,1
"415",0,1,1,6,2,3,1
"416",0,0,1,6,1,0,1
"417",1,1,0,6,3,0,0
"418",0,0,1,6,1,3,1
"419",0,1,0,6,2,0,0
"420",1,2,0,6,4,0,0
"421",1,0,1,6,2,0,1
"422",0,0,1,6,1,0,1
"423",1,1,0,6,3,0,0
"424",0,0,0,6,1,0,0
"425",2,2,0,6,5,0,0
"426",1,0,0,6,2,0,1
"427",0,0,2,5,1,0,0
"428",0,0,0,6,1,0,0
"429",1,2,1,5,4,0,0
"430",1,2,0,6,4,0,1
"431",0,2,0,6,3,0,1
"432",1,2,2,5,4,1,0
"433",1,1,1,5,3,0,1
"434",0,1,1,5,2,0,1
"435",0,2,2,5,3,1,1
"436",0,1,0,6,2,0,1
"437",0,0,0,6,1,0,1
"438",0,0,1,5,1,0,0
"439",0,1,2,5,2,1,1
"440",1,0,0,5,2,0,0
"441",0,0,2,5,1,1,0
"442",3,2,2,6,7,0,1
"443",3,1,2,5,5,0,1
"444",0,0,0,5,1,0,0
"445",3,2,2,6,6,0,1
"446",2,1,2,5,4,0,1
"447",2,2,2,6,5,0,1
"448",1,1,2,5,3,0,0
"449",1,1,2,5,3,0,1
"450",1,2,1,6,4,2,1
"451",1,0,2,5,2,0,1
"452",0,1,2,5,2,0,1
"453",0,0,2,5,1,0,1
"454",1,1,1,6,3,2,1
"455",2,1,1,5,4,0,0
"456",0,0,2,5,1,0,1
"457",1,0,1,6,2,2,1
"458",1,1,1,5,3,0,0
"459",0,0,1,6,1,1,1
"460",0,0,1,5,1,0,1
"461",0,1,1,5,2,0,1
"462",0,1,1,6,2,2,0
"463",0,0,0,5,1,0,1
"464",2,1,2,5,4,0,1
"465",0,0,1,5,1,0,0
"466",0,0,1,6,1,2,0
"467",2,0,2,5,3,0,1
"468",3,2,0,5,6,0,0
"469",0,0,1,6,1,0,1
"470",1,0,2,5,2,0,1
"471",1,0,0,6,2,0,1
"472",3,1,0,5,5,0,0
"473",3,0,0,5,4,0,1
"474",0,0,0,6,1,0,1
"475",0,0,2,5,1,0,1
"476",2,0,0,5,3,0,0
"477",2,2,1,5,5,0,0
"478",2,1,2,5,4,0,1
"479",1,2,1,5,4,0,0
"480",2,0,2,5,3,0,1
"481",1,0,0,5,2,0,1
"482",1,0,2,5,2,0,1
"483",1,1,1,5,3,0,0
"484",0,0,0,5,1,0,1
"485",1,0,1,5,2,0,1
"486",0,0,2,5,1,0,1
"487",1,0,2,4,2,2,0
"488",0,0,2,4,1,2,0
"489",0,2,1,5,4,0,0
"490",0,0,1,5,1,0,1
"491",0,2,1,4,4,1,0
"492",3,1,0,5,5,0,1
"493",0,2,1,5,3,0,1
"494",2,1,0,5,4,0,1
"495",0,2,1,4,3,1,0
"496",0,1,1,5,2,0,1
"497",0,0,1,5,1,0,1
